"country","year","sus","fs","nut","iso3"
"Cabo Verde",1987,-0.0468940311118752,-0.0699788510583234,-0.0605042826386596,"CPV"
"Cambodia",1988,-0.0662889822223795,-0.0858802709011087,-0.0364361556256219,"KHM"
"Côte d'Ivoire",1967,0.0116127198998279,0.0145554214268875,-0.0195175622831194,"CIV"
"Madagascar",1965,-0.0573765599547932,-0.0783234497781873,-0.0890455347127282,"MDG"
"Mauritania",1969,0.155891573937038,0.240252040450661,0.171289710233476,"MRT"
"Mauritania",1981,0.094151486497947,0.102206700216499,0.053794962433967,"MRT"
"Mauritania",1993,0.278960723640999,0.334809141975241,0.330507003280344,"MRT"
"Mauritania",1994,0.231025052333021,0.344529807675543,0.331760851761595,"MRT"
"Senegal",1969,-0.0332235276558466,-0.0577598080677582,-0.0687606410819391,"SEN"
"Spain",1985,0.0381286437578898,0.126693343406359,0.133126427107385,"ESP"
